Date : 2023-08-20 15:06:18
Directory : c:\TPA\TPA-Web\tpa-web-frontend
Total : 104 files,  22979 codes, 641 comments, 2460 blanks, all 26080 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     11,947 |          0 |          3 |     11,950 |
| TypeScript JSX     |         59 |      5,507 |        614 |        835 |      6,956 |
| SCSS               |         35 |      5,342 |         23 |      1,584 |      6,949 |
| CSS                |          1 |         99 |          0 |         22 |        121 |
| JSON with Comments |          1 |         21 |          2 |          3 |         26 |
| Markdown           |          1 |         19 |          0 |          9 |         28 |
| JavaScript         |          1 |         18 |          0 |          1 |         19 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| TypeScript         |          2 |         13 |          2 |          2 |         17 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        104 |     22,979 |        641 |      2,460 |     26,080 |
| . (Files)                                                                                 |          8 |     12,031 |          3 |         18 |     12,052 |
| helper                                                                                    |          2 |         24 |          0 |         11 |         35 |
| src                                                                                       |         94 |     10,924 |        638 |      2,431 |     13,993 |
| src (Files)                                                                               |          4 |        138 |         74 |         26 |        238 |
| src\helper                                                                                |          3 |         81 |          0 |         16 |         97 |
| src\model                                                                                 |          7 |        119 |          0 |         21 |        140 |
| src\page                                                                                  |         71 |      9,393 |        557 |      2,297 |     12,247 |
| src\page\component                                                                        |         37 |      5,271 |        220 |      1,255 |      6,746 |
| src\page\component (Files)                                                                |          9 |      1,063 |        194 |        218 |      1,475 |
| src\page\component\card                                                                   |         12 |      1,051 |         11 |        223 |      1,285 |
| src\page\component\card (Files)                                                           |          6 |        531 |          5 |         70 |        606 |
| src\page\component\card\css                                                               |          6 |        520 |          6 |        153 |        679 |
| src\page\component\css                                                                    |          8 |      1,540 |         11 |        457 |      2,008 |
| src\page\component\modal                                                                  |          8 |      1,617 |          4 |        357 |      1,978 |
| src\page\component\modal (Files)                                                          |          4 |        696 |          4 |         91 |        791 |
| src\page\component\modal\css                                                              |          4 |        921 |          0 |        266 |      1,187 |
| src\page\css                                                                              |         17 |      2,361 |          6 |        708 |      3,075 |
| src\page\guest                                                                            |          5 |        339 |          0 |         53 |        392 |
| src\page\main                                                                             |         12 |      1,422 |        331 |        281 |      2,034 |
